flight_id,source_file,channel,count,missing_count,missing_pct,min,max,mean,median,std,p25,p75,is_constant,impossible_value_flag
FLIGHT_03,log_210613_115132_LDLO.csv,E1 EGT3,4410,1,0.023,142.11,1615.48,1384.04,1483.74,196.27,1306.23,1512.86,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,E1 EGT4,4410,1,0.023,142.27,1626.28,1394.79,1494.16,209.5,1297.38,1542.8,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,E1 EGT5,4410,1,0.023,134.35,1562.93,1359.24,1453.01,181.3,1286.88,1465.1,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,E1 EGT6,4410,1,0.023,122.6,1580.83,1364.57,1465.71,198.05,1260.18,1501.9,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,E1 TIT1,4410,1,0.023,249.41,1658.94,1411.98,1517.16,223.45,1315.94,1577.93,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,E1 TIT2,4410,1,0.023,234.44,1660.89,1422.29,1524.98,211.6,1354.99,1562.88,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,AltMSL,4327,0,0.0,129.1,13525.1,8171.36,9392.5,4672.94,4169.1,12855.55,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,IAS,4411,0,0.0,-1.08,176.64,121.85,141.9,51.48,126.4,151.95,False,True
FLIGHT_03,log_210613_115132_LDLO.csv,OAT,4411,0,0.0,-3.2,31.0,8.63,4.8,11.11,-0.8,17.0,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,volt1,4411,0,0.0,23.6,27.9,27.77,27.8,0.47,27.8,27.9,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,amp1,4411,0,0.0,-34.4,13.2,1.21,1.1,3.43,1.1,1.2,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,E1 RPM,8112,0,0.0,694.5,2489.9,2185.26,2471.6,564.61,2464.6,2474.1,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,E1 MAP,8113,0,0.0,7.12,37.78,20.63,17.62,7.63,14.01,28.08,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,E1 FFlow,8112,0,0.0,1.81,41.45,14.89,15.43,8.74,10.97,17.09,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,E1 OilT,8112,0,0.0,109.4,184.39,174.21,176.85,10.4,173.61,178.98,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,E1 OilP,8112,0,0.0,19.1,54.35,48.54,50.51,5.79,49.64,51.22,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,E1 CHT1,8112,0,0.0,212.31,337.7,278.76,277.4,27.76,264.12,293.79,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,E1 CHT2,8112,0,0.0,214.35,341.01,278.51,279.58,27.68,259.64,297.23,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,E1 CHT3,8112,0,0.0,221.57,357.85,282.86,280.98,28.73,264.28,300.95,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,E1 CHT4,8112,0,0.0,219.58,336.28,275.44,272.03,27.65,258.11,295.76,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,E1 CHT5,8112,0,0.0,211.21,351.14,281.63,277.36,35.24,253.5,310.18,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,E1 CHT6,8112,0,0.0,203.91,333.34,272.68,276.47,30.52,253.22,290.24,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,E1 EGT1,8112,0,0.0,885.78,1606.7,1279.79,1264.46,172.24,1224.45,1467.38,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,E1 EGT2,8112,0,0.0,838.03,1643.76,1311.68,1291.44,172.73,1249.44,1511.15,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,E1 EGT3,8112,0,0.0,886.16,1627.7,1290.81,1285.06,179.75,1228.33,1486.85,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,E1 EGT4,8112,0,0.0,809.78,1607.08,1289.96,1273.6,166.96,1243.82,1479.42,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,E1 EGT5,8112,0,0.0,797.49,1620.32,1307.25,1277.49,158.62,1246.67,1493.12,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,E1 EGT6,8112,0,0.0,1.0,1576.64,1289.62,1270.74,146.27,1229.56,1459.88,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,E1 TIT1,8111,1,0.012,856.07,1646.29,1296.67,1279.72,194.74,1238.72,1521.01,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,E1 TIT2,8111,1,0.012,897.66,1683.55,1313.92,1305.0,206.94,1251.76,1537.91,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,AltMSL,8113,0,0.0,12.6,3217.7,1875.56,2224.0,1184.16,573.9,3080.0,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,IAS,8113,0,0.0,-0.32,165.85,101.55,115.92,53.63,95.94,143.63,False,True
FLIGHT_04,log_211204_102045_EGLL.csv,OAT,8111,0,0.0,-1.2,8.0,2.44,0.8,2.94,0.0,5.5,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,volt1,8112,0,0.0,25.1,27.7,27.7,27.7,0.08,27.7,27.7,False,False
FLIGHT_04,log_211204_102045_EGLL.csv,amp1,8112,0,0.0,-7.1,3.5,1.64,1.6,0.74,1.1,2.0,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,E1 RPM,10754,1,0.009,0.0,2505.6,2359.17,2495.7,430.2,2493.4,2497.4,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,E1 MAP,10754,1,0.009,6.88,35.98,29.21,30.32,5.33,29.69,30.47,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,E1 FFlow,10754,1,0.009,0.0,38.23,17.75,15.97,8.02,15.66,16.74,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,E1 OilT,10754,1,0.009,77.51,195.67,168.11,168.04,17.33,165.19,174.7,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,E1 OilP,10754,1,0.009,0.11,65.67,50.62,51.47,6.0,50.49,52.71,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,E1 CHT1,10754,1,0.009,78.01,373.51,326.21,330.43,41.65,327.76,344.2,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,E1 CHT2,10754,1,0.009,78.3,369.74,319.98,328.21,44.63,322.31,334.93,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,E1 CHT3,10754,1,0.009,77.95,393.99,338.27,346.52,46.86,341.23,353.06,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,E1 CHT4,10754,1,0.009,77.81,377.66,331.81,342.1,45.11,336.49,348.72,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,E1 CHT5,10754,1,0.009,76.63,368.45,317.87,323.65,40.88,317.83,329.98,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,E1 CHT6,10754,1,0.009,76.71,378.83,328.09,337.12,44.16,332.56,342.98,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,E1 EGT1,10754,1,0.009,74.08,1607.82,1437.98,1512.25,189.07,1356.03,1523.09,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,E1 EGT2,10754,1,0.009,74.08,1637.14,1457.21,1537.81,200.25,1358.04,1549.82,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,E1 EGT3,10754,1,0.009,74.08,1624.27,1433.19,1501.12,189.45,1348.24,1515.65,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,E1 EGT4,10754,1,0.009,74.08,1635.85,1462.24,1543.67,198.99,1342.28,1558.52,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,E1 EGT5,10754,1,0.009,74.08,1582.01,1404.87,1468.49,175.92,1324.14,1484.07,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,E1 EGT6,10754,1,0.009,74.08,1594.64,1429.3,1507.59,190.29,1300.58,1520.37,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,E1 TIT1,10754,1,0.009,74.08,1686.28,1491.41,1586.68,220.86,1384.67,1595.42,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,E1 TIT2,10754,1,0.009,74.08,1684.38,1486.89,1569.25,211.98,1408.78,1581.54,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,AltMSL,10675,1,0.009,-124.2,18636.4,12712.47,16225.9,6768.52,6586.1,18560.3,False,True
FLIGHT_05,log_210613_032326_LCPH.csv,IAS,10754,1,0.009,-1.0,174.54,128.21,136.6,42.12,135.1,152.5,False,True
FLIGHT_05,log_210613_032326_LCPH.csv,OAT,10754,1,0.009,-13.2,24.5,-1.53,-7.8,12.38,-12.5,9.5,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,volt1,10754,1,0.009,23.0,27.9,27.81,27.9,0.42,27.8,27.9,False,False
FLIGHT_05,log_210613_032326_LCPH.csv,amp1,10754,1,0.009,-20.4,8.0,1.67,1.6,1.41,1.4,1.8,False,False
